role,seniority,seniority_level,workplace,loc_factor,required_exp,candidate_exp,exp_gap,n_required,n_matched,n_missing,match_ratio,n_extra_skills,avg_skill_demand,salary_expected,salary_gap_ratio,workplace_match,job_salary,fit
Data / Python,Senior,3,REMOTE,1.0,8,11,3,5,4,1,0.8,0,1.0,11400.0,-0.4571,0,21000.0,1
DevOps / SRE,Pleno,2,REMOTE,1.0,3,0,-3,5,5,0,1.0,3,1.12,18900.0,0.1317,1,16700.0,1
Frontend React,Senior,3,ONSITE,1.1,6,4,-2,5,5,0,1.0,3,0.97,16800.0,-0.1295,1,19300.0,1
Machine Learning Eng.,Junior,1,ONSITE,1.1,1,0,-1,5,2,3,0.4,3,1.2,15400.0,0.0199,0,15100.0,0
Fullstack,Pleno,2,HYBRID,1.05,4,7,3,5,4,1,0.8,1,0.99,20100.0,0.1552,1,17400.0,1
DevOps / SRE,Junior,1,ONSITE,1.1,2,0,-2,5,3,2,0.6,4,1.12,12700.0,0.0079,1,12600.0,1
Machine Learning Eng.,Junior,1,REMOTE,1.0,1,2,1,5,4,1,0.8,3,1.2,16000.0,0.2214,1,13100.0,1
Fullstack,Pleno,2,HYBRID,1.05,5,7,2,5,1,4,0.2,1,0.99,15400.0,0.0199,0,15100.0,0
Backend Node.js,Junior,1,ONSITE,1.1,2,0,-2,5,1,4,0.2,4,0.99,7800.0,-0.2277,0,10100.0,0
Machine Learning Eng.,Pleno,2,REMOTE,1.0,5,6,1,5,2,3,0.4,3,1.2,21100.0,0.099,1,19200.0,0
Fullstack,Pleno,2,REMOTE,1.0,5,2,-3,5,5,0,1.0,1,0.99,18000.0,0.1688,1,15400.0,1
Machine Learning Eng.,Junior,1,REMOTE,1.0,1,1,0,5,0,5,0.0,4,1.2,11200.0,-0.1385,0,13000.0,0
DevOps / SRE,Pleno,2,REMOTE,1.0,3,1,-2,5,1,4,0.2,2,1.12,13800.0,-0.1687,1,16600.0,0
Machine Learning Eng.,Pleno,2,HYBRID,1.05,5,2,-3,5,5,0,1.0,0,1.2,22200.0,0.099,1,20200.0,1
Machine Learning Eng.,Junior,1,REMOTE,1.0,1,2,1,5,4,1,0.8,3,1.2,12000.0,0.0084,0,11900.0,1
DevOps / SRE,Junior,1,HYBRID,1.05,1,2,1,5,4,1,0.8,0,1.12,10400.0,-0.0714,1,11200.0,1
Backend Node.js,Senior,3,REMOTE,1.0,10,10,0,5,1,4,0.2,0,0.99,22400.0,0.3913,1,16100.0,0
DevOps / SRE,Junior,1,REMOTE,1.0,2,2,0,5,1,4,0.2,1,1.12,9900.0,-0.1239,0,11300.0,0
Machine Learning Eng.,Senior,3,REMOTE,1.0,6,7,1,5,0,5,0.0,2,1.2,33500.0,0.2271,0,27300.0,0
Data / Python,Junior,1,REMOTE,1.0,0,3,3,5,3,2,0.6,3,1.0,11600.0,0.2083,1,9600.0,1
Fullstack,Senior,3,ONSITE,1.1,12,11,-1,5,5,0,1.0,1,0.99,22500.0,-0.1071,1,25200.0,1
Frontend React,Junior,1,HYBRID,1.05,0,0,0,5,3,2,0.6,4,0.97,5500.0,-0.3038,0,7900.0,1
Backend Node.js,Junior,1,ONSITE,1.1,1,2,1,5,0,5,0.0,3,0.99,12900.0,0.2647,1,10200.0,0
Frontend React,Senior,3,ONSITE,1.1,11,13,2,5,0,5,0.0,4,0.97,17700.0,-0.0829,1,19300.0,0
Data / Python,Pleno,2,ONSITE,1.1,3,6,3,5,2,3,0.4,1,1.0,15600.0,-0.1429,0,18200.0,0
Data / Python,Pleno,2,HYBRID,1.05,4,7,3,5,4,1,0.8,4,1.0,21300.0,0.1094,1,19200.0,1
DevOps / SRE,Pleno,2,HYBRID,1.05,4,1,-3,5,1,4,0.2,0,1.12,24000.0,0.2435,1,19300.0,0
Data / Python,Junior,1,REMOTE,1.0,0,3,3,5,3,2,0.6,2,1.0,11200.0,0.1089,1,10100.0,1
Data / Python,Junior,1,HYBRID,1.05,2,5,3,5,2,3,0.4,1,1.0,7000.0,-0.4167,1,12000.0,1
Backend Node.js,Senior,3,ONSITE,1.1,9,7,-2,5,4,1,0.8,1,0.99,28900.0,0.2246,1,23600.0,0
Fullstack,Senior,3,HYBRID,1.05,6,7,1,5,0,5,0.0,0,0.99,18100.0,-0.1422,1,21100.0,0
Machine Learning Eng.,Pleno,2,HYBRID,1.05,4,6,2,5,4,1,0.8,3,1.2,18800.0,-0.1296,0,21600.0,1
Backend Node.js,Senior,3,HYBRID,1.05,8,8,0,5,5,0,1.0,4,0.99,25400.0,0.3439,0,18900.0,1
Frontend React,Senior,3,REMOTE,1.0,11,11,0,5,4,1,0.8,4,0.97,20500.0,0.1582,0,17700.0,1
Backend Node.js,Pleno,2,ONSITE,1.1,5,5,0,5,3,2,0.6,1,0.99,11600.0,-0.2162,0,14800.0,0
Backend Node.js,Junior,1,HYBRID,1.05,1,0,-1,5,2,3,0.4,0,0.99,8800.0,-0.0737,1,9500.0,0
Data / Python,Pleno,2,HYBRID,1.05,5,7,2,5,2,3,0.4,4,1.0,16800.0,-0.0289,1,17300.0,1
Fullstack,Junior,1,ONSITE,1.1,2,4,2,5,0,5,0.0,1,0.99,11300.0,0.0762,0,10500.0,0
Fullstack,Senior,3,ONSITE,1.1,9,9,0,5,3,2,0.6,2,0.99,19200.0,-0.0725,1,20700.0,0
Data / Python,Junior,1,REMOTE,1.0,2,2,0,5,4,1,0.8,2,1.0,11800.0,0.1456,1,10300.0,1
Backend Node.js,Junior,1,HYBRID,1.05,2,1,-1,5,1,4,0.2,3,0.99,8400.0,-0.0667,1,9000.0,0
Fullstack,Pleno,2,ONSITE,1.1,3,5,2,5,5,0,1.0,2,0.99,13400.0,-0.1879,1,16500.0,1
Fullstack,Junior,1,HYBRID,1.05,1,3,2,5,2,3,0.4,1,0.99,13300.0,0.3039,1,10200.0,1
Backend Node.js,Senior,3,HYBRID,1.05,12,11,-1,5,3,2,0.6,2,0.99,25600.0,0.1532,1,22200.0,0
Backend Node.js,Junior,1,REMOTE,1.0,1,4,3,5,5,0,1.0,1,0.99,12000.0,0.25,1,9600.0,1
Frontend React,Junior,1,ONSITE,1.1,2,4,2,5,4,1,0.8,1,0.97,8900.0,0.0,1,8900.0,1
Machine Learning Eng.,Junior,1,ONSITE,1.1,0,0,0,5,0,5,0.0,3,1.2,11700.0,-0.1333,1,13500.0,0
Machine Learning Eng.,Junior,1,HYBRID,1.05,2,1,-1,5,2,3,0.4,1,1.2,9300.0,-0.2619,0,12600.0,0
Machine Learning Eng.,Junior,1,ONSITE,1.1,2,0,-2,5,1,4,0.2,2,1.2,16100.0,0.1583,0,13900.0,0
Backend Node.js,Pleno,2,ONSITE,1.1,3,1,-2,5,3,2,0.6,3,0.99,19000.0,0.1047,1,17200.0,1
Backend Node.js,Junior,1,REMOTE,1.0,2,1,-1,5,3,2,0.6,4,0.99,9400.0,0.093,1,8600.0,1
Machine Learning Eng.,Junior,1,HYBRID,1.05,0,0,0,5,4,1,0.8,2,1.2,17400.0,0.2889,0,13500.0,0
Frontend React,Senior,3,HYBRID,1.05,10,9,-1,5,5,0,1.0,3,0.97,18300.0,0.1091,1,16500.0,1
Frontend React,Pleno,2,REMOTE,1.0,3,4,1,5,1,4,0.2,0,0.97,11700.0,-0.1583,1,13900.0,0
Data / Python,Senior,3,REMOTE,1.0,11,8,-3,5,1,4,0.2,4,1.0,18100.0,-0.2061,0,22800.0,0
DevOps / SRE,Junior,1,HYBRID,1.05,0,0,0,5,2,3,0.4,3,1.12,13700.0,-0.0072,1,13800.0,1
Fullstack,Junior,1,ONSITE,1.1,1,2,1,5,1,4,0.2,4,0.99,11300.0,0.13,1,10000.0,0
Machine Learning Eng.,Pleno,2,HYBRID,1.05,5,4,-1,5,3,2,0.6,3,1.2,16500.0,-0.2466,0,21900.0,1
Data / Python,Senior,3,ONSITE,1.1,11,11,0,5,0,5,0.0,3,1.0,24600.0,-0.0855,1,26900.0,0
Frontend React,Senior,3,ONSITE,1.1,8,8,0,5,4,1,0.8,4,0.97,25200.0,0.2663,0,19900.0,1
DevOps / SRE,Junior,1,HYBRID,1.05,1,0,-1,5,0,5,0.0,4,1.12,9600.0,-0.2258,1,12400.0,0
DevOps / SRE,Junior,1,ONSITE,1.1,1,3,2,5,0,5,0.0,3,1.12,16500.0,0.2692,1,13000.0,0
Machine Learning Eng.,Senior,3,HYBRID,1.05,10,10,0,5,4,1,0.8,4,1.2,27400.0,-0.0867,1,30000.0,1
Frontend React,Junior,1,HYBRID,1.05,2,5,3,5,0,5,0.0,4,0.97,8400.0,-0.125,0,9600.0,0
Fullstack,Pleno,2,ONSITE,1.1,3,5,2,5,2,3,0.4,4,0.99,13000.0,-0.2308,1,16900.0,1
Frontend React,Junior,1,ONSITE,1.1,0,0,0,5,5,0,1.0,0,0.97,9300.0,-0.0106,1,9400.0,1
Frontend React,Junior,1,HYBRID,1.05,2,0,-2,5,5,0,1.0,2,0.97,10900.0,0.2674,0,8600.0,1
Data / Python,Senior,3,ONSITE,1.1,12,15,3,5,0,5,0.0,2,1.0,27300.0,0.05,1,26000.0,0
Machine Learning Eng.,Pleno,2,ONSITE,1.1,5,2,-3,5,2,3,0.4,3,1.2,22000.0,-0.0222,1,22500.0,0
Backend Node.js,Pleno,2,ONSITE,1.1,5,7,2,5,4,1,0.8,1,0.99,17100.0,0.1032,0,15500.0,1
Frontend React,Senior,3,REMOTE,1.0,6,4,-2,5,2,3,0.4,4,0.97,18800.0,0.0162,1,18500.0,1
Data / Python,Senior,3,HYBRID,1.05,12,10,-2,5,0,5,0.0,1,1.0,20200.0,-0.0901,0,22200.0,0
DevOps / SRE,Senior,3,REMOTE,1.0,8,10,2,5,3,2,0.6,4,1.12,28000.0,0.2281,0,22800.0,1
Machine Learning Eng.,Pleno,2,ONSITE,1.1,3,2,-1,5,3,2,0.6,2,1.2,24000.0,0.1594,1,20700.0,1
Machine Learning Eng.,Pleno,2,HYBRID,1.05,4,3,-1,5,3,2,0.6,2,1.2,17400.0,-0.1907,0,21500.0,0
Fullstack,Pleno,2,REMOTE,1.0,4,5,1,5,3,2,0.6,2,0.99,13800.0,-0.0072,1,13900.0,1
DevOps / SRE,Pleno,2,REMOTE,1.0,4,7,3,5,0,5,0.0,1,1.12,13700.0,-0.1845,0,16800.0,0
Machine Learning Eng.,Senior,3,ONSITE,1.1,7,6,-1,5,3,2,0.6,4,1.2,31100.0,-0.0604,1,33100.0,0
Machine Learning Eng.,Pleno,2,HYBRID,1.05,4,5,1,5,1,4,0.2,0,1.2,13400.0,-0.3128,1,19500.0,0
Fullstack,Senior,3,HYBRID,1.05,10,8,-2,5,5,0,1.0,2,0.99,22600.0,0.1244,0,20100.0,1
Machine Learning Eng.,Senior,3,HYBRID,1.05,10,7,-3,5,5,0,1.0,1,1.2,25100.0,-0.1824,1,30700.0,1
DevOps / SRE,Pleno,2,ONSITE,1.1,5,5,0,5,0,5,0.0,0,1.12,25000.0,0.3966,1,17900.0,0
Backend Node.js,Senior,3,HYBRID,1.05,10,11,1,5,4,1,0.8,1,0.99,21500.0,-0.0444,1,22500.0,1
Fullstack,Junior,1,REMOTE,1.0,2,1,-1,5,1,4,0.2,2,0.99,8800.0,-0.0538,1,9300.0,0
Fullstack,Pleno,2,ONSITE,1.1,4,7,3,5,4,1,0.8,3,0.99,15200.0,-0.0788,1,16500.0,1
Backend Node.js,Junior,1,HYBRID,1.05,0,0,0,5,3,2,0.6,3,0.99,9700.0,0.0659,1,9100.0,1
Fullstack,Junior,1,HYBRID,1.05,0,0,0,5,5,0,1.0,3,0.99,9800.0,-0.0577,1,10400.0,1
Machine Learning Eng.,Junior,1,ONSITE,1.1,1,0,-1,5,1,4,0.2,4,1.2,11600.0,-0.2215,0,14900.0,0
DevOps / SRE,Junior,1,REMOTE,1.0,1,0,-1,5,2,3,0.4,4,1.12,8700.0,-0.2368,1,11400.0,0
Backend Node.js,Junior,1,ONSITE,1.1,0,3,3,5,5,0,1.0,4,0.99,12000.0,0.1215,0,10700.0,1
Fullstack,Pleno,2,ONSITE,1.1,3,1,-2,5,0,5,0.0,0,0.99,14700.0,-0.1302,1,16900.0,0
Data / Python,Junior,1,ONSITE,1.1,1,2,1,5,0,5,0.0,4,1.0,14700.0,0.3009,1,11300.0,0
Machine Learning Eng.,Junior,1,HYBRID,1.05,2,4,2,5,0,5,0.0,2,1.2,17500.0,0.2681,1,13800.0,0
DevOps / SRE,Pleno,2,ONSITE,1.1,3,2,-1,5,0,5,0.0,1,1.12,15300.0,-0.2113,1,19400.0,0
DevOps / SRE,Junior,1,ONSITE,1.1,1,0,-1,5,3,2,0.6,3,1.12,11000.0,-0.1473,1,12900.0,1
DevOps / SRE,Senior,3,ONSITE,1.1,8,11,3,5,1,4,0.2,2,1.12,30000.0,0.1407,1,26300.0,0
Machine Learning Eng.,Junior,1,REMOTE,1.0,1,1,0,5,1,4,0.2,3,1.2,11600.0,-0.072,1,12500.0,0
Machine Learning Eng.,Junior,1,ONSITE,1.1,2,0,-2,5,3,2,0.6,2,1.2,9500.0,-0.2963,1,13500.0,0
Frontend React,Senior,3,ONSITE,1.1,10,11,1,5,5,0,1.0,4,0.97,14800.0,-0.1638,0,17700.0,1
Data / Python,Senior,3,ONSITE,1.1,6,8,2,5,1,4,0.2,3,1.0,28800.0,0.0909,1,26400.0,0
Backend Node.js,Senior,3,REMOTE,1.0,9,12,3,5,3,2,0.6,4,0.99,18600.0,0.0276,1,18100.0,1
Data / Python,Junior,1,REMOTE,1.0,0,1,1,5,0,5,0.0,4,1.0,8600.0,-0.1963,1,10700.0,0
Backend Node.js,Pleno,2,REMOTE,1.0,4,2,-2,5,0,5,0.0,1,0.99,17700.0,0.1346,1,15600.0,0
Machine Learning Eng.,Senior,3,ONSITE,1.1,6,4,-2,5,4,1,0.8,0,1.2,22300.0,-0.2466,1,29600.0,0
DevOps / SRE,Junior,1,REMOTE,1.0,2,5,3,5,1,4,0.2,0,1.12,7300.0,-0.2626,0,9900.0,1
Frontend React,Junior,1,REMOTE,1.0,0,0,0,5,4,1,0.8,2,0.97,7500.0,-0.1573,1,8900.0,1
Fullstack,Pleno,2,ONSITE,1.1,3,0,-3,5,0,5,0.0,0,0.99,13600.0,-0.1282,1,15600.0,0
Fullstack,Senior,3,HYBRID,1.05,11,8,-3,5,1,4,0.2,1,0.99,17400.0,-0.2127,1,22100.0,0
DevOps / SRE,Senior,3,REMOTE,1.0,12,11,-1,5,4,1,0.8,2,1.12,23800.0,-0.0246,1,24400.0,1
Data / Python,Junior,1,REMOTE,1.0,2,5,3,5,0,5,0.0,3,1.0,9700.0,-0.1565,1,11500.0,0
Data / Python,Pleno,2,ONSITE,1.1,4,7,3,5,4,1,0.8,2,1.0,21100.0,0.1164,1,18900.0,1
DevOps / SRE,Junior,1,HYBRID,1.05,1,0,-1,5,3,2,0.6,0,1.12,12300.0,0.0513,1,11700.0,0
Machine Learning Eng.,Junior,1,REMOTE,1.0,0,0,0,5,5,0,1.0,3,1.2,11300.0,0.0089,0,11200.0,1
Frontend React,Junior,1,ONSITE,1.1,2,0,-2,5,2,3,0.4,3,0.97,6500.0,-0.3367,1,9800.0,0
Machine Learning Eng.,Junior,1,HYBRID,1.05,2,1,-1,5,2,3,0.4,3,1.2,13200.0,0.0645,1,12400.0,0
Data / Python,Senior,3,ONSITE,1.1,6,4,-2,5,3,2,0.6,1,1.0,20900.0,-0.2288,1,27100.0,0
DevOps / SRE,Pleno,2,HYBRID,1.05,3,2,-1,5,3,2,0.6,3,1.12,18500.0,0.0165,1,18200.0,1
Frontend React,Junior,1,REMOTE,1.0,2,0,-2,5,5,0,1.0,3,0.97,9000.0,0.1392,0,7900.0,1
Frontend React,Pleno,2,REMOTE,1.0,4,5,1,5,5,0,1.0,3,0.97,13600.0,0.088,1,12500.0,1
Fullstack,Senior,3,ONSITE,1.1,10,11,1,5,4,1,0.8,4,0.99,23300.0,0.031,1,22600.0,1
Backend Node.js,Pleno,2,ONSITE,1.1,4,6,2,5,4,1,0.8,1,0.99,16700.0,-0.0118,0,16900.0,1
Data / Python,Pleno,2,HYBRID,1.05,3,4,1,5,5,0,1.0,2,1.0,13600.0,-0.1553,0,16100.0,1
DevOps / SRE,Junior,1,REMOTE,1.0,1,1,0,5,4,1,0.8,1,1.12,10500.0,-0.0948,1,11600.0,1
DevOps / SRE,Pleno,2,ONSITE,1.1,3,4,1,5,2,3,0.4,4,1.12,20300.0,0.005,1,20200.0,1
Data / Python,Junior,1,HYBRID,1.05,2,0,-2,5,1,4,0.2,2,1.0,8700.0,-0.1122,1,9800.0,0
Data / Python,Pleno,2,ONSITE,1.1,3,2,-1,5,4,1,0.8,1,1.0,14900.0,-0.0859,0,16300.0,1
DevOps / SRE,Pleno,2,HYBRID,1.05,4,7,3,5,3,2,0.6,2,1.12,17100.0,-0.0447,0,17900.0,1
Backend Node.js,Junior,1,HYBRID,1.05,0,0,0,5,0,5,0.0,0,0.99,6200.0,-0.3404,1,9400.0,0
Frontend React,Junior,1,ONSITE,1.1,0,0,0,5,3,2,0.6,3,0.97,12200.0,0.2842,1,9500.0,1
Fullstack,Pleno,2,HYBRID,1.05,4,4,0,5,1,4,0.2,3,0.99,13600.0,-0.1656,1,16300.0,0
Fullstack,Junior,1,REMOTE,1.0,1,1,0,5,1,4,0.2,3,0.99,6000.0,-0.3684,1,9500.0,0
Data / Python,Senior,3,ONSITE,1.1,6,6,0,5,3,2,0.6,4,1.0,13800.0,-0.448,0,25000.0,1
Backend Node.js,Junior,1,HYBRID,1.05,1,0,-1,5,0,5,0.0,1,0.99,10100.0,0.0202,0,9900.0,0
Data / Python,Junior,1,ONSITE,1.1,0,3,3,5,5,0,1.0,3,1.0,12100.0,-0.0397,1,12600.0,1
Data / Python,Pleno,2,REMOTE,1.0,5,8,3,5,5,0,1.0,0,1.0,11500.0,-0.2675,1,15700.0,1
Backend Node.js,Pleno,2,HYBRID,1.05,4,5,1,5,5,0,1.0,2,0.99,18800.0,0.4135,1,13300.0,1
Fullstack,Senior,3,HYBRID,1.05,11,10,-1,5,5,0,1.0,1,0.99,21500.0,-0.0773,1,23300.0,1
Data / Python,Senior,3,ONSITE,1.1,12,13,1,5,5,0,1.0,2,1.0,31900.0,0.16,1,27500.0,1
Fullstack,Pleno,2,REMOTE,1.0,4,1,-3,5,4,1,0.8,2,0.99,15800.0,0.0822,1,14600.0,0
DevOps / SRE,Pleno,2,REMOTE,1.0,3,3,0,5,4,1,0.8,2,1.12,17600.0,0.0115,1,17400.0,1
Frontend React,Senior,3,REMOTE,1.0,9,7,-2,5,4,1,0.8,2,0.97,21000.0,0.066,0,19700.0,0
Data / Python,Junior,1,HYBRID,1.05,1,1,0,5,0,5,0.0,0,1.0,12700.0,0.1981,1,10600.0,0
Frontend React,Senior,3,REMOTE,1.0,8,11,3,5,2,3,0.4,1,0.97,15400.0,-0.1765,1,18700.0,1
Fullstack,Senior,3,REMOTE,1.0,9,7,-2,5,0,5,0.0,0,0.99,23500.0,0.2113,1,19400.0,0
Data / Python,Pleno,2,ONSITE,1.1,5,8,3,5,4,1,0.8,0,1.0,20300.0,0.2303,1,16500.0,1
DevOps / SRE,Senior,3,HYBRID,1.05,6,6,0,5,4,1,0.8,3,1.12,26500.0,-0.0862,1,29000.0,1
Machine Learning Eng.,Pleno,2,HYBRID,1.05,4,5,1,5,2,3,0.4,0,1.2,24800.0,0.2157,0,20400.0,0
Fullstack,Junior,1,ONSITE,1.1,0,2,2,5,4,1,0.8,2,0.99,10900.0,0.0283,1,10600.0,1
DevOps / SRE,Junior,1,ONSITE,1.1,0,0,0,5,1,4,0.2,4,1.12,10800.0,-0.1756,1,13100.0,0
Data / Python,Pleno,2,HYBRID,1.05,4,3,-1,5,5,0,1.0,0,1.0,16800.0,-0.0345,1,17400.0,1
Data / Python,Pleno,2,REMOTE,1.0,3,1,-2,5,3,2,0.6,1,1.0,10800.0,-0.4098,1,18300.0,0
Data / Python,Senior,3,HYBRID,1.05,11,14,3,5,5,0,1.0,2,1.0,25800.0,0.075,1,24000.0,1
Machine Learning Eng.,Pleno,2,HYBRID,1.05,5,2,-3,5,0,5,0.0,4,1.2,25500.0,0.1697,1,21800.0,0
DevOps / SRE,Senior,3,ONSITE,1.1,7,7,0,5,0,5,0.0,0,1.12,19800.0,-0.3004,1,28300.0,0
Machine Learning Eng.,Pleno,2,ONSITE,1.1,3,2,-1,5,5,0,1.0,1,1.2,23200.0,0.1317,0,20500.0,1
Data / Python,Junior,1,HYBRID,1.05,1,3,2,5,1,4,0.2,1,1.0,6900.0,-0.3894,1,11300.0,0
Machine Learning Eng.,Junior,1,ONSITE,1.1,1,2,1,5,1,4,0.2,3,1.2,8000.0,-0.3651,0,12600.0,0
Frontend React,Pleno,2,REMOTE,1.0,4,3,-1,5,3,2,0.6,1,0.97,12100.0,-0.0547,0,12800.0,0
Data / Python,Senior,3,REMOTE,1.0,7,8,1,5,5,0,1.0,1,1.0,23000.0,-0.0086,1,23200.0,1
Backend Node.js,Junior,1,REMOTE,1.0,1,0,-1,5,1,4,0.2,1,0.99,8000.0,-0.0805,0,8700.0,0
Frontend React,Junior,1,HYBRID,1.05,0,0,0,5,0,5,0.0,1,0.97,5800.0,-0.3409,0,8800.0,0
Machine Learning Eng.,Senior,3,HYBRID,1.05,8,9,1,5,1,4,0.2,0,1.2,27500.0,-0.1214,1,31300.0,0
Data / Python,Pleno,2,HYBRID,1.05,4,1,-3,5,2,3,0.4,1,1.0,12500.0,-0.2604,1,16900.0,0
Machine Learning Eng.,Senior,3,REMOTE,1.0,8,11,3,5,5,0,1.0,2,1.2,22100.0,-0.1754,1,26800.0,1
Machine Learning Eng.,Pleno,2,ONSITE,1.1,4,5,1,5,3,2,0.6,2,1.2,26500.0,0.3317,1,19900.0,1
DevOps / SRE,Senior,3,ONSITE,1.1,12,13,1,5,4,1,0.8,2,1.12,21200.0,-0.291,1,29900.0,1
Fullstack,Senior,3,ONSITE,1.1,6,4,-2,5,4,1,0.8,4,0.99,15900.0,-0.3484,0,24400.0,1
DevOps / SRE,Junior,1,ONSITE,1.1,2,0,-2,5,3,2,0.6,1,1.12,16200.0,0.3279,1,12200.0,0
Machine Learning Eng.,Senior,3,REMOTE,1.0,9,9,0,5,0,5,0.0,2,1.2,28300.0,0.1142,1,25400.0,0
Fullstack,Pleno,2,HYBRID,1.05,5,6,1,5,0,5,0.0,4,0.99,16100.0,0.1103,1,14500.0,0
Fullstack,Pleno,2,HYBRID,1.05,5,5,0,5,2,3,0.4,3,0.99,18000.0,0.0778,1,16700.0,0
Fullstack,Senior,3,HYBRID,1.05,10,8,-2,5,2,3,0.4,0,0.99,17500.0,-0.1422,1,20400.0,0
Fullstack,Senior,3,REMOTE,1.0,9,6,-3,5,2,3,0.4,2,0.99,27900.0,0.1772,1,23700.0,0
Backend Node.js,Senior,3,REMOTE,1.0,7,8,1,5,4,1,0.8,1,0.99,18300.0,-0.0161,1,18600.0,1
Backend Node.js,Senior,3,REMOTE,1.0,12,13,1,5,1,4,0.2,4,0.99,19400.0,-0.0443,1,20300.0,0
Machine Learning Eng.,Senior,3,HYBRID,1.05,10,9,-1,5,2,3,0.4,3,1.2,31900.0,0.0324,1,30900.0,0
Machine Learning Eng.,Senior,3,HYBRID,1.05,12,10,-2,5,5,0,1.0,0,1.2,19200.0,-0.3469,0,29400.0,1
DevOps / SRE,Junior,1,ONSITE,1.1,2,4,2,5,5,0,1.0,1,1.12,10600.0,-0.1783,1,12900.0,1
Frontend React,Senior,3,ONSITE,1.1,8,5,-3,5,1,4,0.2,3,0.97,26400.0,0.3005,1,20300.0,0
Data / Python,Senior,3,HYBRID,1.05,9,12,3,5,2,3,0.4,3,1.0,23000.0,0.0268,1,22400.0,1
Machine Learning Eng.,Pleno,2,ONSITE,1.1,3,4,1,5,1,4,0.2,1,1.2,25400.0,0.0855,0,23400.0,0
Frontend React,Junior,1,REMOTE,1.0,2,0,-2,5,5,0,1.0,3,0.97,5900.0,-0.2027,1,7400.0,1
DevOps / SRE,Junior,1,ONSITE,1.1,2,4,2,5,4,1,0.8,4,1.12,13500.0,0.0305,1,13100.0,1
Backend Node.js,Senior,3,ONSITE,1.1,9,6,-3,5,2,3,0.4,4,0.99,19000.0,-0.0104,1,19200.0,0
Fullstack,Senior,3,REMOTE,1.0,9,9,0,5,3,2,0.6,2,0.99,15100.0,-0.2335,1,19700.0,1
Data / Python,Junior,1,REMOTE,1.0,1,1,0,5,3,2,0.6,3,1.0,8400.0,-0.134,0,9700.0,0
Fullstack,Pleno,2,REMOTE,1.0,4,6,2,5,5,0,1.0,3,0.99,11200.0,-0.145,1,13100.0,1
DevOps / SRE,Senior,3,REMOTE,1.0,7,5,-2,5,3,2,0.6,2,1.12,24400.0,-0.0317,1,25200.0,0
Data / Python,Senior,3,ONSITE,1.1,6,6,0,5,5,0,1.0,2,1.0,11800.0,-0.5646,0,27100.0,1
Fullstack,Senior,3,ONSITE,1.1,9,9,0,5,2,3,0.4,2,0.99,24400.0,0.0702,1,22800.0,0
Data / Python,Junior,1,ONSITE,1.1,2,0,-2,5,1,4,0.2,0,1.0,12600.0,0.0,1,12600.0,0
DevOps / SRE,Senior,3,ONSITE,1.1,8,11,3,5,3,2,0.6,2,1.12,26800.0,-0.0884,1,29400.0,1
Data / Python,Senior,3,ONSITE,1.1,6,3,-3,5,1,4,0.2,0,1.0,22000.0,0.0526,1,20900.0,0
Machine Learning Eng.,Junior,1,ONSITE,1.1,2,1,-1,5,0,5,0.0,0,1.2,13500.0,0.0305,1,13100.0,0
Data / Python,Senior,3,ONSITE,1.1,11,13,2,5,4,1,0.8,1,1.0,22500.0,-0.0088,1,22700.0,1
Machine Learning Eng.,Senior,3,ONSITE,1.1,8,6,-2,5,0,5,0.0,1,1.2,26700.0,-0.0729,1,28800.0,0
Data / Python,Pleno,2,HYBRID,1.05,3,5,2,5,5,0,1.0,4,1.0,15700.0,-0.071,0,16900.0,1
Fullstack,Pleno,2,HYBRID,1.05,3,1,-2,5,5,0,1.0,1,0.99,22100.0,0.4076,1,15700.0,0
Backend Node.js,Pleno,2,HYBRID,1.05,4,1,-3,5,0,5,0.0,0,0.99,18700.0,0.2808,0,14600.0,0
Machine Learning Eng.,Senior,3,ONSITE,1.1,11,8,-3,5,1,4,0.2,4,1.2,16400.0,-0.4954,1,32500.0,0
DevOps / SRE,Junior,1,REMOTE,1.0,0,0,0,5,0,5,0.0,1,1.12,10600.0,-0.1783,0,12900.0,0
Machine Learning Eng.,Pleno,2,REMOTE,1.0,3,2,-1,5,3,2,0.6,2,1.2,19700.0,-0.0343,1,20400.0,0
Data / Python,Senior,3,REMOTE,1.0,9,8,-1,5,2,3,0.4,4,1.0,20700.0,0.0,1,20700.0,0
Frontend React,Pleno,2,REMOTE,1.0,3,6,3,5,1,4,0.2,4,0.97,13900.0,0.0146,1,13700.0,0
DevOps / SRE,Junior,1,REMOTE,1.0,1,0,-1,5,0,5,0.0,1,1.12,7300.0,-0.354,0,11300.0,0
Data / Python,Junior,1,HYBRID,1.05,1,2,1,5,2,3,0.4,3,1.0,12700.0,0.0763,0,11800.0,0
Frontend React,Senior,3,REMOTE,1.0,12,11,-1,5,0,5,0.0,1,0.97,10700.0,-0.3886,1,17500.0,0
DevOps / SRE,Senior,3,REMOTE,1.0,12,10,-2,5,0,5,0.0,2,1.12,22200.0,-0.126,1,25400.0,0
Frontend React,Pleno,2,REMOTE,1.0,5,4,-1,5,2,3,0.4,3,0.97,12800.0,0.0,1,12800.0,0
Data / Python,Junior,1,ONSITE,1.1,2,5,3,5,2,3,0.4,3,1.0,9800.0,-0.1478,0,11500.0,1
